1,49
2,1
3,1080
4,1
5,1
6,8
7,4
8,13
9,34
10,6
11,76
12,1
13,9
14,500
15,20
16,4
17,1
18,1
19,444
20,608
21,55
22,62
23,1
24,1
25,2
26,11
27,1
28,4
29,160
30,15
31,1
32,1
33,27
34,6
35,1
36,62
37,2
38,16
39,9
40,4
41,7
42,4
43,1
44,45
45,4
46,70
47,4
48,1
49,1
50,6
51,19
52,3
53,1
54,1
55,1
56,52
57,716
58,4
59,86
60,31
61,72
62,2
63,13
64,21
65,153
66,3
67,3
68,261
69,9
70,61
71,3
72,32
73,1
74,75
75,46
76,1
77,61
78,13
79,245
80,1
81,19
82,110
83,16
84,2
85,51
86,181
87,144
88,146
89,290
90,1
91,472
92,77
93,16
94,162
95,10
96,2
97,1
98,14
99,1
100,3
101,51
102,58
103,327
104,21
105,10
106,10
107,73
108,4
109,62
110,225
111,3
112,39
113,2
114,0
115,78
116,310
117,5
118,67
119,14
120,1
121,52
122,1
123,1071
124,4
125,1
126,3
127,1
128,2
129,2
130,20
131,2
132,1
133,45
134,77
135,501
136,14
137,6
138,10
139,23
140,1
141,6
142,5
143,1143
144,3
145,50
146,235
147,1
148,1
149,2137
150,135
151,95
152,66
153,23
154,1
155,69
156,21
157,4
158,2
159,194
160,4
161,406
162,455
163,24
164,41
165,1
166,32
167,8
168,425
169,8
170,21
171,80
172,1
173,70
174,138
175,10
176,12
177,3390
178,16
179,93
180,154
181,2
182,152
183,2
184,10
185,193
186,85
187,1
188,14
189,6
190,140
191,8
192,7
193,6
194,24
195,19
196,44
197,59
198,1
199,10
200,55
201,1
202,2
203,126
204,1
205,2
206,1
207,60
208,3
209,1
210,36
211,2
212,1
213,92
214,34
215,1
216,1
217,2
218,3
219,8
220,3
221,20
222,1
223,51
224,2
225,1
226,115
227,13
228,0
229,6
230,27
231,479
232,52
233,339
234,124
235,1
236,34
237,549
238,0
239,19
240,33
241,13
242,327
243,11
244,104
245,37
246,1
247,58
248,64
249,2
250,17
251,4
252,15
253,322
254,39
255,16
256,5
257,22
258,133
259,1
260,7
261,1
262,10
263,6
264,52
265,35
266,365
267,108
268,5566
269,10
270,83
271,23
272,42
273,35
274,57
275,6
276,9
277,7
278,1
279,1
280,1
281,2
282,1
283,2
284,130
285,38
286,4
287,8
288,1
289,417
290,438
291,5
292,16
293,39
294,1
295,1
296,27
297,50
298,2
299,2
300,7
301,2
302,32
303,4
304,1
305,4
306,6
307,7
308,23
309,9
310,15
311,7
312,7734
313,38
314,39
315,11
316,24
317,23
318,242
319,3
320,6
321,11
322,42
323,2
324,2
325,2
326,8355
327,2
328,18
329,3080
330,9
331,23
332,14
333,1
334,212
335,27
336,2
337,74
338,97
339,56
340,23
341,33
342,18
343,2
344,1
345,26
346,26
347,104
348,61
349,15
350,240
351,25
352,34
353,1396
354,1
355,6
356,1
357,33
358,5
359,10
360,1
361,593
362,52
363,2
364,68
365,3
366,2246
367,30
368,746
369,1
370,2
371,4
372,23
373,135
374,26
375,82
376,5
377,1
378,1
379,9
380,2
381,1
382,3
383,5
384,310
385,1
386,1
387,1
388,6589
389,1
390,4
391,6
392,23
393,1
394,4
395,5
396,43
397,4
398,34
399,1066
400,1
401,338
402,24
403,199
404,1
405,2
406,19
407,75
408,39
409,88
410,814
411,1
412,39
413,92
414,1
415,1
416,1
417,1
418,18
419,3
420,3
421,6
422,10
423,547
424,27
425,4
426,2
427,97
428,5
429,94
430,9
431,18
432,94
433,19
434,132
435,78
436,3
437,23
438,8
439,3
440,38
441,2960340
442,28
443,2
444,11
445,2
446,17
447,7
448,2
449,19
450,76
451,13
452,205
453,1
454,182
455,7
456,18
457,34
458,2
459,1
460,1
461,37
462,133
463,4
464,1
465,233
466,148
467,13
468,2
469,85
470,1
471,24
472,20
473,27
474,1
475,2
476,4
477,19
478,38
479,2
480,49
481,443
482,30
483,1
484,6
485,38
486,37
487,2
488,53
489,1
490,2
491,199
492,1
493,7
494,11
495,40
496,157
497,34
498,16
499,7
500,1
501,1
502,182
503,1841
504,32
505,18
506,7
507,2
508,56
509,9
510,18
511,15
512,2
513,2
514,1
515,63
516,711
517,13
518,42
519,1
520,11
521,2
522,2
523,98
524,19
525,1
526,25
527,1
528,30
529,10
530,6
531,2
532,39
533,2
534,1
535,114
536,9422
537,1
538,1
539,32
540,59
541,13
542,4
543,6
544,72
545,49
546,34
547,47
548,228
549,5
550,1
551,14
552,3
553,121
554,8
555,1
556,40
557,231
558,1
559,7
560,1
561,19
562,5
563,53
564,53
565,66
566,352
567,35
568,5
569,2
570,4
571,167
572,1
573,9
574,25
575,7
576,898
577,139
578,26
579,2236
580,46
581,5
582,43
583,482
584,21
585,150
586,49
587,28
588,6
589,24
590,36
591,4
592,7
593,1
594,1
595,6
596,524
597,16
598,20
599,7
600,36
601,52
602,167
603,1
604,6
605,1
606,23
607,193
608,53
609,4
610,59
611,4
612,18
613,181
614,113
615,1422
616,10
617,18
618,345
619,2
620,1
621,32
622,6
623,11
624,172
625,21
626,29
627,33
628,24
629,102
630,1
631,1
632,45
633,45
634,187
635,132
636,5
637,21
638,24
639,745
640,5
641,129
642,16
643,4755
644,6
645,5
646,15
